# Conference Summary (227 total: 130 upcoming, 0 ongoing, 97 ended)
# Generated: 2026-09-07
# Format: id | name | start~end | region | status | categories

aaai-apac-2026 | AAAI 2026 (40th AAAI Conference on Artificial Intelligence) | 2026-01-20~2026-01-27 | Asia-Pacific | ended | AI / 機械学習
techex-north-america-north-america-2026 | TechEx North America 2026 | 2026-05-18~2026-05-19 | North America | ended | ビジネス / DX, AI / 機械学習, クラウド / インフラ
mlsys-north-america-2026 | MLSys 2026 (9th Conference on Machine Learning and Systems) | 2026-05-18~2026-05-22 | North America | ended | AI / 機械学習, クラウド / インフラ
gartner-data-analytics-summit-tokyo-jp-2026 | Gartner Data & Analytics Summit Tokyo 2026 | 2026-05-19~2026-05-21 | Japan | ended | データプラットフォーム, データインテリジェンス, ビジネス / DX
current-eu-2026 | Current 2026 (Confluent) | 2026-05-19~2026-05-20 | Europe | ended | データエンジニアリング, データプラットフォーム
devops-pro-europe-eu-2026 | DevOps Pro Europe 2026 | 2026-05-19~2026-05-22 | Europe | ended | クラウド / インフラ
google-io-north-america-2026 | Google I/O 2026 | 2026-05-19~2026-05-20 | North America | ended | AI / 機械学習, クラウド / インフラ
mit-sloan-cio-symposium-north-america-2026 | MIT Sloan CIO Symposium 2026 | 2026-05-19~2026-05-19 | North America | ended | ビジネス / DX, AI / 機械学習
data-intelligence-summit-nyc-north-america-2026 | Data Intelligence Summit NYC 2026 | 2026-05-20~2026-05-21 | North America | ended | データインテリジェンス, AI / 機械学習
world-data-summit-eu-2026 | World Data Summit 2026 (European Edition) | 2026-05-20~2026-05-22 | Europe | ended | データプラットフォーム, データエンジニアリング, データインテリジェンス
aiag-catena-x-north-america-conference-north-america-2026 | AIAG Catena-X North America Conference 2026 | 2026-05-21~2026-05-21 | North America | ended | Data Spaces / データ連携, ビジネス / DX
gaia-x-tech-x-hackathon-9-eu-2026 | Gaia-X Tech-X & Hackathon #9 | 2026-05-28~2026-05-29 | Europe | ended | Data Spaces / データ連携, クラウド / インフラ, データプラットフォーム
dx-ai-forum-spring-jp-2026 | DX&AI Forum 2026 Spring 東京 | 2026-05-29~2026-05-29 | Japan | ended | ビジネス / DX, AI / 機械学習
snowflake-summit-north-america-2026 | Snowflake Summit 2026 | 2026-06-01~2026-06-04 | North America | ended | データプラットフォーム, データエンジニアリング, AI / 機械学習
qcon-ai-boston-north-america-2026 | QCon AI Boston 2026 | 2026-06-01~2026-06-02 | North America | ended | AI / 機械学習, データエンジニアリング
mlcon-san-diego-north-america-2026 | MLcon San Diego 2026 | 2026-06-01~2026-06-05 | North America | ended | AI / 機械学習
tpdp-north-america-2026 | TPDP 2026 (12th Workshop on Theory and Practice of Differential Privacy) | 2026-06-01~2026-06-02 | North America | ended | PETs
microsoft-build-north-america-2026 | Microsoft Build 2026 | 2026-06-02~2026-06-03 | North America | ended | クラウド / インフラ, AI / 機械学習
ai-market-excon-jp-2026 | AI Market ExCon 2026 | 2026-06-02~2026-06-02 | Japan | ended | AI / 機械学習, ビジネス / DX
cvpr-north-america-2026 | CVPR 2026 (IEEE/CVF Conference on Computer Vision and Pattern Recognition) | 2026-06-03~2026-06-07 | North America | ended | AI / 機械学習
dataspaces-in-the-us-na-2026 | Dataspaces in the United States: Catena-X, Gaia-X, and IDSA | 2026-06-05~2026-06-05 | North America | ended | Data Spaces / データ連携, ビジネス / DX
interop-tokyo-jp-2026 | Interop Tokyo 2026 | 2026-06-10~2026-06-12 | Japan | ended | クラウド / インフラ, ビジネス / DX, AI / 機械学習
baidata-forum-eu-2026 | V BAIDATA Forum 2026 | 2026-06-11~2026-06-11 | Europe | ended | Data Spaces / データ連携, ビジネス / DX
data-mesh-live-eu-2026 | Data Mesh Live 2026 | 2026-06-11~2026-06-12 | Europe | ended | データプラットフォーム, データエンジニアリング
dx-leaders-conference-jp-2026 | DXリーダーズ・カンファレンス2026 〜AIとの共創で実現する内製組織〜 | 2026-06-12~2026-06-12 | Japan | ended | ビジネス / DX, AI / 機械学習
databricks-data-ai-summit-north-america-2026 | Databricks Data + AI Summit 2026 | 2026-06-15~2026-06-18 | North America | ended | データプラットフォーム, データエンジニアリング, AI / 機械学習
devopscon-berlin-eu-2026 | DevOpsCon Berlin 2026 | 2026-06-15~2026-06-19 | Europe | ended | クラウド / インフラ
gartner-da-summit-sydney-apac-2026 | Gartner Data & Analytics Summit Sydney 2026 | 2026-06-16~2026-06-17 | Asia-Pacific | ended | データインテリジェンス, ビジネス / DX
kubecon-cloudnativecon-india-apac-2026 | KubeCon + CloudNativeCon India 2026 | 2026-06-18~2026-06-19 | Asia-Pacific | ended | クラウド / インフラ
platformcon-online-2026 | PlatformCon 2026 | 2026-06-22~2026-06-26 | Online | ended | クラウド / インフラ
mlcon-munich-eu-2026 | MLcon Munich 2026 | 2026-06-22~2026-06-26 | Europe | ended | AI / 機械学習
confidential-computing-summit-north-america-2026 | Confidential Computing Summit 2026 | 2026-06-23~2026-06-24 | North America | ended | PETs, クラウド / インフラ
aws-summit-japan-jp-2026 | AWS Summit Japan 2026 | 2026-06-25~2026-06-26 | Japan | ended | クラウド / インフラ, データプラットフォーム, AI / 機械学習
flink-forward-asia-shenzhen-apac-2026 | Flink Forward Asia 2026 (Shenzhen) | 2026-06-26~2026-06-27 | Asia-Pacific | ended | データエンジニアリング, データプラットフォーム
dx-expo-jp-2026 | DX 総合EXPO 2026 夏 東京 | 2026-07-01~2026-07-03 | Japan | ended | ビジネス / DX
acl-north-america-2026 | ACL 2026 (64th Annual Meeting of the Association for Computational Linguistics) | 2026-07-02~2026-07-07 | North America | ended | AI / 機械学習
icml-apac-2026 | ICML 2026 (43rd International Conference on Machine Learning) | 2026-07-06~2026-07-11 | Asia-Pacific | ended | AI / 機械学習
gartner-cio-leadership-forum-tokyo-jp-2026 | Gartner CIO Leadership Forum Tokyo 2026 | 2026-07-09~2026-07-10 | Japan | ended | ビジネス / DX
privacy-enhancing-technologies-symposium-north-america-2026 | Privacy Enhancing Technologies Symposium (PETS) 2026 | 2026-07-20~2026-07-25 | North America | ended | PETs
nikkei-xtrend-forum-jp-2026 | 日経クロストレンドFORUM 2026 | 2026-07-28~2026-07-30 | Japan | ended | ビジネス / DX, データインテリジェンス
kubecon-cloudnativecon-japan-jp-2026 | KubeCon + CloudNativeCon Japan 2026 | 2026-07-29~2026-07-30 | Japan | ended | クラウド / インフラ
google-cloud-next-tokyo-jp-2026 | Google Cloud Next Tokyo 2026 | 2026-07-30~2026-07-31 | Japan | ended | クラウド / インフラ, データプラットフォーム, AI / 機械学習
kdd-apac-2026 | KDD 2026 (ACM SIGKDD Conference on Knowledge Discovery and Data Mining) | 2026-08-09~2026-08-13 | Asia-Pacific | ended | AI / 機械学習, データインテリジェンス
ijcai-ecai-eu-2026 | IJCAI-ECAI 2026 (International Joint Conference on Artificial Intelligence) | 2026-08-15~2026-08-21 | Europe | ended | AI / 機械学習
ray-summit-north-america-2026 | Ray Summit 2026 | 2026-08-24~2026-08-26 | North America | ended | AI / 機械学習, クラウド / インフラ
airflow-summit-north-america-2026 | Airflow Summit 2026 | 2026-08-31~2026-09-02 | North America | ended | データエンジニアリング, データプラットフォーム
vldb-north-america-2026 | VLDB 2026 (52nd International Conference on Very Large Data Bases) | 2026-08-31~2026-09-04 | North America | ended | データエンジニアリング, データインテリジェンス
kubecon-cloudnativecon-openinfra-summit-china-apac-2026 | KubeCon + CloudNativeCon + OpenInfra Summit China 2026 | 2026-09-08~2026-09-09 | Asia-Pacific | upcoming | クラウド / インフラ
eccv-eu-2026 | ECCV 2026 (19th European Conference on Computer Vision) | 2026-09-08~2026-09-13 | Europe | upcoming | AI / 機械学習
disney-ddac-north-america-2026 | Disney Data & Analytics Conference (DDAC) 2026 | 2026-09-14~2026-09-16 | North America | upcoming | データインテリジェンス
gartner-it-symposium-gold-coast-apac-2026 | Gartner IT Symposium/Xpo Australia 2026 | 2026-09-14~2026-09-16 | Asia-Pacific | upcoming | ビジネス / DX, AI / 機械学習
data-spaces-week-jp-2026 | Data Spaces Week 2026 | 2026-09-14~2026-09-18 | Japan | upcoming | Data Spaces / データ連携, データプラットフォーム, ビジネス / DX
dbt-summit-north-america-2026 | dbt Summit 2026 | 2026-09-15~2026-09-18 | North America | upcoming | データエンジニアリング, データプラットフォーム
tdwi-transform-north-america-2026 | TDWI Transform 2026 | 2026-09-20~2026-09-25 | North America | upcoming | データインテリジェンス, データプラットフォーム
ai-data-summit-berlin-eu-2026 | AIDAQ 2026 (AI, Data & Quantum Summit) | 2026-09-22~2026-09-23 | Europe | upcoming | データインテリジェンス, AI / 機械学習
big-data-ldn-eu-2026 | Big Data LDN 2026 | 2026-09-23~2026-09-24 | Europe | upcoming | データインテリジェンス, データエンジニアリング, AI / 機械学習
platform-engineering-kaigi-jp-2026 | Platform Engineering Kaigi 2026 | 2026-09-26~2026-09-26 | Japan | upcoming | クラウド / インフラ
iaria-data-analytics-eu-2026 | DATA ANALYTICS 2026 (15th International Conference on Data Analytics) | 2026-09-27~2026-10-01 | Europe | upcoming | データインテリジェンス, データエンジニアリング
devopscon-new-york-north-america-2026 | DevOpsCon New York 2026 | 2026-09-28~2026-10-02 | North America | upcoming | クラウド / インフラ
fabcon-europe-eu-2026 | European Microsoft Fabric + SQL Community Conference 2026 (FabCon Europe) | 2026-09-28~2026-10-01 | Europe | upcoming | データプラットフォーム, データインテリジェンス
mlcon-new-york-north-america-2026 | MLcon New York 2026 | 2026-09-28~2026-10-02 | North America | upcoming | AI / 機械学習
european-big-data-value-forum-eu-2026 | European Big Data Value Forum (EBDVF) 2026 | 2026-09-30~2026-10-01 | Europe | upcoming | Data Spaces / データ連携, AI / 機械学習, データインテリジェンス, ビジネス / DX
iapp-psr-north-america-2026 | IAPP Privacy. Security. Risk. + AI Governance Global 2026 | 2026-10-06~2026-10-09 | North America | upcoming | PETs, ビジネス / DX
colm-north-america-2026 | COLM 2026 (Conference on Language Modeling) | 2026-10-06~2026-10-09 | North America | upcoming | AI / 機械学習
data-streaming-summit-north-america-2026 | Data Streaming Summit 2026 (San Francisco) | 2026-10-07~2026-10-08 | North America | upcoming | データエンジニアリング
srecon26-europemiddle-eastafrica-eu-2026 | SREcon26 Europe/Middle East/Africa | 2026-10-13~2026-10-15 | Europe | upcoming | クラウド / インフラ
data-innovation-summit-mea-eu-2026 | Data Innovation Summit MEA 2026 | 2026-10-14~2026-10-15 | Europe | upcoming | データインテリジェンス, AI / 機械学習, データエンジニアリング
gartner-it-symposium-orlando-north-america-2026 | Gartner IT Symposium/Xpo Americas 2026 | 2026-10-19~2026-10-22 | North America | upcoming | ビジネス / DX, AI / 機械学習
digital-transformation-week-europe-eu-2026 | Digital Transformation Week Europe 2026 | 2026-10-20~2026-10-21 | Europe | upcoming | ビジネス / DX, クラウド / インフラ
japan-dx-week-autumn-jp-2026 | Japan DX Week 秋 2026 | 2026-10-21~2026-10-23 | Japan | upcoming | ビジネス / DX, データインテリジェンス
hashiconf-at-ibm-techxchange-north-america-2026 | HashiConf at IBM TechXchange 2026 | 2026-10-26~2026-10-29 | North America | upcoming | クラウド / インフラ
aiml-conference-eu-2026 | AIML-2026 (6th International Conference on Artificial Intelligence & Machine Learning) | 2026-10-26~2026-10-27 | Europe | upcoming | AI / 機械学習
gartner-it-symposium-yokohama-jp-2026 | Gartner IT Symposium/Xpo Japan 2026 | 2026-11-04~2026-11-06 | Japan | upcoming | ビジネス / DX, AI / 機械学習
current-north-america-2026 | Current 2026 San Francisco (Confluent) | 2026-11-04~2026-11-05 | North America | upcoming | データエンジニアリング, データプラットフォーム, AI / 機械学習
kubecon-cloudnativecon-north-america-north-america-2026 | KubeCon + CloudNativeCon North America 2026 | 2026-11-09~2026-11-12 | North America | upcoming | クラウド / インフラ
gartner-it-symposium-barcelona-eu-2026 | Gartner IT Symposium/Xpo EMEA 2026 | 2026-11-09~2026-11-12 | Europe | upcoming | ビジネス / DX, AI / 機械学習
pass-summit-west-north-america-2026 | PASS Data Community Summit 2026 (Seattle) | 2026-11-09~2026-11-11 | North America | upcoming | データインテリジェンス, データエンジニアリング
nextech-week-autumn-jp-2026 | NexTech Week 2026【秋】 AI・人工知能EXPO | 2026-11-11~2026-11-13 | Japan | upcoming | AI / 機械学習, ビジネス / DX, データインテリジェンス
cio-transformation-assembly-miami-north-america-2026 | Digital Enterprise CIO Transformation Assembly – November 2026 (Miami) | 2026-11-12~2026-11-13 | North America | upcoming | ビジネス / DX
qcon-san-francisco-north-america-2026 | QCon San Francisco 2026 | 2026-11-16~2026-11-20 | North America | upcoming | クラウド / インフラ, データエンジニアリング
nextgen-intelligence-london-eu-2026 | NextGen Intelligence 2026 Conference | 2026-11-16~2026-11-17 | Europe | upcoming | データインテリジェンス, ビジネス / DX
microsoft-ignite-north-america-2026 | Microsoft Ignite 2026 | 2026-11-17~2026-11-20 | North America | upcoming | クラウド / インフラ, データプラットフォーム, AI / 機械学習
japan-dx-week-kansai-jp-2026 | Japan DX Week 関西 2026 | 2026-11-18~2026-11-20 | Japan | upcoming | ビジネス / DX, データインテリジェンス
cloudnative-days-winter-jp-2026 | CloudNative Days Winter 2026 | 2026-11-18~2026-11-19 | Japan | upcoming | クラウド / インフラ
gaia-x-summit-eu-2026 | Gaia-X Summit 2026 | 2026-11-19~2026-11-20 | Europe | upcoming | Data Spaces / データ連携, クラウド / インフラ, AI / 機械学習
big-data-conference-europe-eu-2026 | Big Data Conference Europe 2026 | 2026-11-24~2026-11-27 | Europe | upcoming | データエンジニアリング, AI / 機械学習, データインテリジェンス
aws-reinvent-north-america-2026 | AWS re:Invent 2026 | 2026-11-30~2026-12-04 | North America | upcoming | クラウド / インフラ, データプラットフォーム, AI / 機械学習
gartner-infra-cloud-jp-2026 | ガートナー ITインフラストラクチャ、オペレーション & クラウド戦略コンファレンス 2026 | 2026-12-01~2026-12-03 | Japan | upcoming | クラウド / インフラ, ビジネス / DX
neurips-apac-2026 | NeurIPS 2026 (40th Conference on Neural Information Processing Systems) | 2026-12-06~2026-12-12 | Asia-Pacific | upcoming | AI / 機械学習
open-source-summit-japan-jp-2026 | Open Source Summit Japan 2026 | 2026-12-07~2026-12-09 | Japan | upcoming | クラウド / インフラ, データエンジニアリング
ces-north-america-2027 | CES 2027 | 2027-01-06~2027-01-09 | North America | upcoming | ビジネス / DX
wef-davos-eu-2027 | World Economic Forum Annual Meeting 2027 (Davos) | 2027-01-18~2027-01-22 | Europe | upcoming | ビジネス / DX
cidr-eu-2027 | CIDR 2027 (Conference on Innovative Data Systems Research) | 2027-01-24~2027-01-27 | Europe | upcoming | データプラットフォーム, データエンジニアリング
web-summit-qatar-apac-2027 | Web Summit Qatar 2027 | 2027-01-31~2027-02-03 | Asia-Pacific | upcoming | ビジネス / DX
cio-transformation-assembly-austin-north-america-2027 | Digital Enterprise CIO Transformation Assembly – February 2027 (Austin) | 2027-02-02~2027-02-03 | North America | upcoming | ビジネス / DX
ai-big-data-expo-global-eu-2027 | AI & Big Data Expo Global 2027 | 2027-02-03~2027-02-04 | Europe | upcoming | AI / 機械学習, データインテリジェンス
cyber-security-cloud-expo-global-eu-2027 | Cyber Security & Cloud Expo Global 2027 | 2027-02-03~2027-02-04 | Europe | upcoming | クラウド / インフラ
digital-transformation-week-global-eu-2027 | Digital Transformation Week Global 2027 | 2027-02-03~2027-02-04 | Europe | upcoming | ビジネス / DX, クラウド / インフラ
cisco-live-emea-eu-2027 | Cisco Live EMEA 2027 | 2027-02-08~2027-02-12 | Europe | upcoming | クラウド / インフラ
wsdm-apac-2027 | WSDM 2027 (20th ACM International Conference on Web Search and Data Mining) | 2027-02-15~2027-02-19 | Asia-Pacific | upcoming | AI / 機械学習, データインテリジェンス
aaai-north-america-2027 | AAAI-27 (41st AAAI Conference on Artificial Intelligence) | 2027-02-16~2027-02-23 | North America | upcoming | AI / 機械学習
sre-kaigi-jp-2027 | SRE Kaigi 2027 | 2027-02-20~2027-02-20 | Japan | upcoming | クラウド / インフラ
gartner-cio-lf-phoenix-north-america-2027 | Gartner CIO Leadership Forum 2027 Phoenix | 2027-02-22~2027-02-23 | North America | upcoming | ビジネス / DX
platformcon-live-day-sf-north-america-2027 | PlatformCon 2027 Live Day San Francisco | 2027-02-24~2027-02-24 | North America | upcoming | クラウド / インフラ
cdao-financial-services-north-america-2027 | CDAO Financial Services 2027 | 2027-03-01~2027-03-02 | North America | upcoming | データインテリジェンス, AI / 機械学習
gartner-cio-lf-vienna-eu-2027 | Gartner CIO Leadership Forum 2027 Vienna | 2027-03-02~2027-03-03 | Europe | upcoming | ビジネス / DX
fabcon-north-america-2027 | Microsoft Fabric Community Conference 2027 (FabCon & SQLCon) | 2027-03-08~2027-03-12 | North America | upcoming | データプラットフォーム, データエンジニアリング
cpdp-eu-2027 | CPDP 2027 (Computers, Privacy and Data Protection) - 20th Anniversary | 2027-03-08~2027-03-11 | Europe | upcoming | PETs, ビジネス / DX
gartner-data-analytics-summit-us-north-america-2027 | Gartner Data & Analytics Summit US 2027 (Orlando) | 2027-03-08~2027-03-10 | North America | upcoming | データインテリジェンス, データプラットフォーム, ビジネス / DX
eacl-eu-2027 | EACL 2027 (20th Conference of the European Chapter of the ACL) | 2027-03-09~2027-03-14 | Europe | upcoming | AI / 機械学習
big-data-ai-world-london-eu-2027 | Big Data & AI World London 2027 | 2027-03-10~2027-03-11 | Europe | upcoming | データインテリジェンス, AI / 機械学習
cloud-ai-infrastructure-london-eu-2027 | Cloud & AI Infrastructure London 2027 | 2027-03-10~2027-03-11 | Europe | upcoming | クラウド / インフラ, AI / 機械学習
kubecon-cloudnativecon-europe-eu-2027 | KubeCon + CloudNativeCon Europe 2027 | 2027-03-15~2027-03-18 | Europe | upcoming | クラウド / インフラ
nlp-jp-2027 | 言語処理学会第33回年次大会 (NLP2027) | 2027-03-15~2027-03-19 | Japan | upcoming | AI / 機械学習
nvidia-gtc-north-america-2027 | NVIDIA GTC 2027 | 2027-03-15~2027-03-18 | North America | upcoming | AI / 機械学習
sxsw-north-america-2027 | SXSW 2027 (South by Southwest) | 2027-03-15~2027-03-21 | North America | upcoming | ビジネス / DX
gartner-cio-lf-london-eu-2027 | Gartner CIO Leadership Forum 2027 London | 2027-03-15~2027-03-16 | Europe | upcoming | ビジネス / DX
iapp-global-summit-north-america-2027 | IAPP Global Summit 2027 (Privacy | AI Governance | Cybersecurity Law) | 2027-03-21~2027-03-24 | North America | upcoming | PETs, ビジネス / DX
ndss-symposium-apac-2027 | NDSS Symposium 2027 (Network and Distributed System Security) | 2027-03-22~2027-03-26 | Asia-Pacific | upcoming | PETs
gartner-cio-lf-hollywood-north-america-2027 | Gartner CIO Leadership Forum 2027 Hollywood, FL | 2027-03-22~2027-03-23 | North America | upcoming | ビジネス / DX
biaas-amsterdam-eu-2027 | Business Intelligence and Analytics Summit (BIAAS) 2027 | 2027-03-23~2027-03-24 | Europe | upcoming | データインテリジェンス, ビジネス / DX
aaiml-jp-2027 | AAIML 2027 (2nd International Conference on Advances in Artificial Intelligence and Machine Learning) | 2027-03-29~2027-03-31 | Asia-Pacific | upcoming | AI / 機械学習
aws-summit-london-eu-2027 | AWS Summit London 2027 | 2027-04-01~2027-04-01 | Europe | upcoming | クラウド / インフラ
aws-summit-paris-eu-2027 | AWS Summit Paris 2027 | 2027-04-01~2027-04-01 | Europe | upcoming | クラウド / インフラ
fheorg-conference-north-america-2027 | FHE.org Conference 2027 (6th Annual) | 2027-04-04~2027-04-04 | North America | upcoming | PETs
hannover-messe-industrial-data-spaces-eu-2027 | Hannover Messe 2027 - Industrial Data Spaces | 2027-04-05~2027-04-08 | Europe | upcoming | Data Spaces / データ連携, データプラットフォーム
rwc-north-america-2027 | Real World Crypto Symposium (RWC) 2027 | 2027-04-05~2027-04-07 | North America | upcoming | PETs
rsa-conference-north-america-2027 | RSA Conference 2027 | 2027-04-05~2027-04-08 | North America | upcoming | ビジネス / DX, PETs
